image,sku,name,price,description,colors,available sizes
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/c/k/ckdp20201_green_1_1.jpg,CKDP20201____CKDP20201_pk,kurta with dupatta,"PKR 3,900",kurta dupatta,"PINK,GREEN","6,8,10,12,14,16"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/e/t/etpe20143_mustard_1_2.jpg,ETPE20143____ETPE20143_pk,print embroidered kurta,"PKR 5,000",women's top,"TURQUOISE,MUSTARD","10,12"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/e/t/etpe20166_blue_1_2.jpg,ETPE20166____ETPE20166_pk,print embroidered kurta,"PKR 4,500",women's top,"BLUE,YELLOW","8,10,12,14,16"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/k/d/kdp20201_mustard_1_1.jpg,KDP20201____KDP20201_pk,kurta with dupatta,"PKR 3,399",kurta dupatta,"PINK,MUSTARD","6,8,10,12,14,16"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/k/d/kdp20202_blue_1_1.jpg,KDP20202____KDP20202_pk,kurta with dupatta,"PKR 3,900",kurta dupatta,"PINK,BLUE","6,8,10,12,14,16"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/k/p/kpp20201_blue_1_1.jpg,KPP20201____KPP20201_pk,kurta with pants,"PKR 4,200",kurta pajama,"PINK,BLUE","6,8,10,12,14,16"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/k/p/kpp20202_beige_1_1.jpg,KPP20202____KPP20202_pk,kurta with pants,"PKR 4,200",kurta pajama,"PINK,BEIGE","6,8,10,12,14,16"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/f/s/fsp20201_beige_1_1.jpg,FSP20201____FSP20201_pk,printed full suit,"PKR 4,400",full suit,BEIGE,"6,8,10,12,14,16,18"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/e/t/ete20142_green_1_1.jpg,ETE20142____ETE20142_pk,embroidered kurta,"PKR 5,501",women's top,GREEN,"6,10,12"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/c/t/ctpe20108_orange_1_6.jpg,CTPE20108____CTPE20108_pk,embroidered kurta,"PKR 3,800",women's top,"GREEN,ORANGE",6
